case_type,user_id,candidate_item_id,label,relevance_probability,calibrated_relevance_probability,positive_evidence,negative_evidence,abs_evidence_margin,ambiguity,missing_information,evidence_risk,old_rank,new_rank,rank_delta,candidate_title_or_text,reason
demoted,AGJCZ3TS5CHMAP4DVRV2752DQ3NA,B00BRN5TQY,0,0.35000000000000003,0.1358428805,0.30000000000000004,0.5,0.2,0.4,0.5,0.5666666667,1,5,-4,"Aleavia Restore Soothing Mist – Fragrance-Free Organic & All-Natural Prebiotic, Restorative Spray – Nourish your Healthy Skin Microbiome – 4 oz.","User history focuses on hair removal, styling, and shaving products, while the candidate is a skin microbiome mist with no clear overlap in category or use case."
demoted,AGROTY3KEQXC7OWGNLDMPTDPJXHA,B07DNGSYK8,0,0.35000000000000003,0.1358428805,0.30000000000000004,0.5,0.2,0.4,0.5,0.5666666667,1,5,-4,It’S SKIN Signature D’escargot Unwrinkle Snail Cream 55ml 1.86 fl. oz. - Anti Aging Wrinkle Care Skin Tightening Repair Moisturizing Essence for Youthful Appearance Mucin Serum Gel,"User history focuses on nail care, tanning, and body grooming, while the candidate is a snail-based anti-aging face cream with no clear topical overlap."
demoted,AEYVPPWR4CIKWX4BGYKCBCDL2CZQ,B08GLG6W8T,0,0.65,0.2008368201,0.6000000000000001,0.2,0.4,0.30000000000000004,0.4,0.4333333333,2,6,-4,Hanhoo Red pomegranate 6pcs Skin Care Set (6pcs/set),"User has shown interest in skincare and hair/body care products, and the pomegranate skin care set aligns with that category."
demoted,AFA2FCSVPNZZKNB6KWTPXK4XF6FA,B07Q82VGTV,0,0.15,0.10493827160000001,0.1,0.7000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.4,2,6,-4,"The Beachwaver Co. Dual Voltage, S1, White","The user's history shows a floral perfume for women, while the candidate is a hair styling tool, with no shared category or use case."
demoted,AFCFX34G3LQLDXEEBCPWSX5RRYYA,B07RTK8GR1,0,0.15,0.10493827160000001,0.1,0.7000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.4,2,6,-4,"Gaming Headphones Chamvict Xbox One Headset with Stereo Sound Ps4 Headset with Mic Noise Canceling for PS4,PC,Laptop,Cell Phone,Xbox,Find Enemies Before They Find You","The user's history shows a hair accessory, which is unrelated to gaming headphones."
demoted,AHS5N7UAFIP4QSU3CSUBSE33XEGA,B07PXFPVZK,0,0.15,0.10493827160000001,0.1,0.7000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.4,2,6,-4,"VIRTUE Shaping Spray, 7 oz","The user's history shows interest in hair wigs, while the candidate is a hair styling spray, which is a different product category with weak topical overlap."
demoted,AES7RASIJQEGKUNG5G6667DTO2GQ,B00XXZZCCU,0,0.35000000000000003,0.1358428805,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,3,6,-3,"Pursoma Minerals Hot Tub Bath Treatment, 10.5 oz","The user's interest in nail art supplies does not clearly overlap with bath treatments, and the short history provides insufficient evidence of broader self-care or spa preferences."
demoted,AGU7PO73VGUO6TWDTPEEAP7JGC5Q,B07FP2C8N8,0,0.35000000000000003,0.1358428805,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,3,6,-3,"Emilia Hypoallergenic Bath Oil for Babies - Paraben-Free Natural Baby Wash Enriched With Natural Oat Extract, Sunflower, Sweet Almond, Sesame, Calendula, and Chamomile 8.5 fl.oz.","User history shows nail art charms and hand cream, which are personal care items but not baby-specific, making the baby bath oil a weak topical match."
demoted,AHCRCBG3L7SZB5GU4VMFUFEJH5TQ,B07KQ32Z8C,0,0.35000000000000003,0.1358428805,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,2,5,-3,"APIVITA Queen Bee Holistic Age Defense Night Cream 1.69 fl.oz. |Intensive Night Treatment That Speeds Skin Regeneration, Smooths Wrinkle & Increases Skin Elasticity with Royal Jell","User history shows hair accessories and a hemp lotion, but the candidate is a luxury anti-aging night cream with no clear topical or brand overlap."
demoted,AEZY3WQ5CO4DOXRNJOWWXJYKCAXQ,B08F7877DC,0,0.35000000000000003,0.1358428805,0.30000000000000004,0.5,0.2,0.4,0.5,0.5666666667,2,5,-3,"KISSIO Eyeshadow Set Of 9 Colors, Practical Colors, Pigmentation, Long-Lasting, Rotating Design, CHINA Style, Good Gift","User history shows hair, beauty accessories, and organizers, but no makeup or eyeshadow products, making the match weak."
high_risk_demoted,AGVTQ5KZKO7BZXT3SEJVGXWFPYXQ,B0B1M8SBML,0,0.45,0.1548042705,0.4,0.5,0.1,0.6000000000000001,0.7000000000000001,0.7333333333000001,3,4,-1,"Everyday Beauty Radiance Cleanser, Rejuvenating Antioxidant Gel Cleanser with Rose Hip Seed Oil, Vitamin A, C, and E for All Skin Types to Soothe and Nourish Dry Damaged Skin, 4fl ","The user history includes a gel strip and hair clips, which are unrelated to skincare cleansers, making relevance uncertain."
high_risk_demoted,AHSYPMTMHAMWIT6ZVKU7J37ZJ4QQ,B08WR94H41,0,0.45,0.1548042705,0.4,0.5,0.1,0.6000000000000001,0.7000000000000001,0.7333333333000001,1,2,-1,"MERISIHAIR Short Bob Wig with Bangs,Straight Black Bob Wigs for Women,Natural Short Synthetic Bob Wig 11inch(Black)","The user interacted with a hair brush, not a wig, and the candidate is a synthetic wig with no clear overlap in product type or styling purpose."
high_risk_demoted,AEIFXWDWF3NU6Y5L5VQBEITE7KJQ,B08G4VWFNS,0,0.45,0.1548042705,0.4,0.5,0.1,0.6000000000000001,0.5,0.6666666667000001,2,3,-1,Molequle Glow & Go Brightening Mask,"User history focuses on pore control, hair color protection, baby care, acne treatment, and eczema relief, while the candidate is a brightening face mask with no clear overlap in specific skin concerns or product category."
high_risk_demoted,AGLMHJEWZBMXWLRX25ETEEYVKINA,B08BS19VF8,0,0.35000000000000003,0.1548042705,0.2,0.5,0.30000000000000004,0.6000000000000001,0.7000000000000001,0.6666666667000001,2,3,-1,"Karuna Hit Refresh Eucalyptus Fiber-Infused Sheet Mask: Burst of Hydration & Refreshing Glow, 3 Count","User history shows interest in hair accessories, while the candidate is a skincare sheet mask with no clear thematic overlap."
high_risk_demoted,AGVQDS3VL7L4TVNVITE7AJOANDTA,B08FGRH559,0,0.55,0.1548042705,0.5,0.4,0.1,0.6000000000000001,0.5,0.6666666667000001,2,3,-1,4 pcs Button Headband Yoga Sports Workout Turban Headwrap Elastic Ear Protection Holder Twisted Running Hair Band for Women Men Adult Kids (Style A),"The user has shown interest in hair extensions and accessories, but the candidate is a sport headband, which is only weakly related to hair styling and not directly aligned with the specific products purchased."
high_risk_demoted,AHUOOO3WCQNZA4MQPWHAOEUEQ4YQ,B08M3C6LVS,0,0.55,0.1548042705,0.5,0.4,0.1,0.5,0.6000000000000001,0.6666666667000001,3,4,-1,"24K Gold Under Eye Mask– 20 Pairs- Under Eye Patches with Face Massager Roller, Anti-Aging Hyaluronic Acid Collagen Eye Masks for Dark Circles and Puffiness Dark Under Eyes Treatme","Both items are skincare products with similar count (20), but the user's history is too short to confirm a strong preference for eye treatments over general towelettes."
high_risk_demoted,AHYBURPPFSJHXFTYTCDQIGQWYBNQ,B07XP7L6XC,0,0.55,0.1548042705,0.5,0.4,0.1,0.5,0.6000000000000001,0.6666666667000001,1,2,-1,"16 Jars Chrome Nail Powder Kit Mirror Effect Manicure Decoration Pigment 16 Colors Art Nail Powders with 16pcs Eyeshadow Sticks, 1g/Jar (Mirror-16 Jars)","User history shows beauty and personal care items, and the candidate is nail powder, but the specific product category (nails vs. lashes/hair) and lack of direct overlap make relevance uncertain."
high_risk_demoted,AES7RASIJQEGKUNG5G6667DTO2GQ,B00XXZZCCU,0,0.35000000000000003,0.1358428805,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,3,6,-3,"Pursoma Minerals Hot Tub Bath Treatment, 10.5 oz","The user's interest in nail art supplies does not clearly overlap with bath treatments, and the short history provides insufficient evidence of broader self-care or spa preferences."
high_risk_demoted,AGU7PO73VGUO6TWDTPEEAP7JGC5Q,B07FP2C8N8,0,0.35000000000000003,0.1358428805,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,3,6,-3,"Emilia Hypoallergenic Bath Oil for Babies - Paraben-Free Natural Baby Wash Enriched With Natural Oat Extract, Sunflower, Sweet Almond, Sesame, Calendula, and Chamomile 8.5 fl.oz.","User history shows nail art charms and hand cream, which are personal care items but not baby-specific, making the baby bath oil a weak topical match."
high_risk_demoted,AHCRCBG3L7SZB5GU4VMFUFEJH5TQ,B07KQ32Z8C,0,0.35000000000000003,0.1358428805,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,2,5,-3,"APIVITA Queen Bee Holistic Age Defense Night Cream 1.69 fl.oz. |Intensive Night Treatment That Speeds Skin Regeneration, Smooths Wrinkle & Increases Skin Elasticity with Royal Jell","User history shows hair accessories and a hemp lotion, but the candidate is a luxury anti-aging night cream with no clear topical or brand overlap."
