accuracy,bin,candidate_size,count,dataset,lower,mean_confidence,method,run_id,seed,upper
0.0,1,500,0,movielens_1m_r2,0.1,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed42,42,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed42,42,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed42,42,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed42,42,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed42,42,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed42,42,0.7
0.0,7,500,50,movielens_1m_r2,0.7,0.7069999999999999,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed42,42,0.8
0.0,8,500,5789,movielens_1m_r2,0.8,0.8500000000000076,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed42,42,0.9
0.0,9,500,195,movielens_1m_r2,0.9,0.9382051282051272,llm_confidence_observation_real,r3_movielens_1m_real_llm_full_candidate500_llm_confidence_observation_real_seed42,42,1.0
0.0,0,500,0,movielens_1m_r2,0.0,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed13,13,0.1
0.0,1,500,0,movielens_1m_r2,0.1,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed13,13,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed13,13,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed13,13,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed13,13,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed13,13,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed13,13,0.7
0.0,7,500,50,movielens_1m_r2,0.7,0.7069999999999999,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed13,13,0.8
0.0,8,500,5789,movielens_1m_r2,0.8,0.8500000000000076,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed13,13,0.9
0.0,9,500,195,movielens_1m_r2,0.9,0.9382051282051272,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed13,13,1.0
0.0,0,500,0,movielens_1m_r2,0.0,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed21,21,0.1
0.0,1,500,0,movielens_1m_r2,0.1,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed21,21,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed21,21,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed21,21,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed21,21,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed21,21,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed21,21,0.7
0.0,7,500,50,movielens_1m_r2,0.7,0.7069999999999999,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed21,21,0.8
0.0,8,500,5789,movielens_1m_r2,0.8,0.8500000000000076,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed21,21,0.9
0.0,9,500,195,movielens_1m_r2,0.9,0.9382051282051272,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed21,21,1.0
0.0,0,500,0,movielens_1m_r2,0.0,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed42,42,0.1
0.0,1,500,0,movielens_1m_r2,0.1,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed42,42,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed42,42,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed42,42,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed42,42,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed42,42,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed42,42,0.7
0.0,7,500,50,movielens_1m_r2,0.7,0.7069999999999999,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed42,42,0.8
0.0,8,500,5789,movielens_1m_r2,0.8,0.8500000000000076,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed42,42,0.9
0.0,9,500,195,movielens_1m_r2,0.9,0.9382051282051272,llm_generative_real,r3_movielens_1m_real_llm_full_candidate500_llm_generative_real_seed42,42,1.0
0.0,0,500,5982,movielens_1m_r2,0.0,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed13,13,0.1
0.0,1,500,0,movielens_1m_r2,0.1,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed13,13,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed13,13,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed13,13,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed13,13,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed13,13,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed13,13,0.7
0.0,7,500,1,movielens_1m_r2,0.7,0.7,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed13,13,0.8
0.0,8,500,0,movielens_1m_r2,0.8,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed13,13,0.9
0.0,9,500,57,movielens_1m_r2,0.9,0.9421052631578954,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed13,13,1.0
0.0,0,500,5982,movielens_1m_r2,0.0,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed21,21,0.1
0.0,1,500,0,movielens_1m_r2,0.1,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed21,21,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed21,21,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed21,21,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed21,21,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed21,21,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed21,21,0.7
0.0,7,500,1,movielens_1m_r2,0.7,0.7,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed21,21,0.8
0.0,8,500,0,movielens_1m_r2,0.8,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed21,21,0.9
0.0,9,500,57,movielens_1m_r2,0.9,0.9421052631578954,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed21,21,1.0
0.0,0,500,5982,movielens_1m_r2,0.0,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed42,42,0.1
0.0,1,500,0,movielens_1m_r2,0.1,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed42,42,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed42,42,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed42,42,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed42,42,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed42,42,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed42,42,0.7
0.0,7,500,1,movielens_1m_r2,0.7,0.7,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed42,42,0.8
0.0,8,500,0,movielens_1m_r2,0.8,0.0,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed42,42,0.9
0.0,9,500,57,movielens_1m_r2,0.9,0.9421052631578954,llm_rerank_real,r3_movielens_1m_real_llm_full_candidate500_llm_rerank_real_seed42,42,1.0
0.0,0,500,9,movielens_1m_r2,0.0,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed13,13,0.1
0.0,1,500,0,movielens_1m_r2,0.1,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed13,13,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed13,13,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed13,13,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed13,13,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed13,13,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed13,13,0.7
0.0,7,500,45,movielens_1m_r2,0.7,0.7088888888888886,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed13,13,0.8
0.0,8,500,5780,movielens_1m_r2,0.8,0.8500000000000071,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed13,13,0.9
0.0,9,500,206,movielens_1m_r2,0.9,0.9354368932038828,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed13,13,1.0
0.0,0,500,3,movielens_1m_r2,0.0,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed21,21,0.1
0.0,1,500,0,movielens_1m_r2,0.1,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed21,21,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed21,21,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed21,21,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed21,21,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed21,21,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed21,21,0.7
0.0,7,500,50,movielens_1m_r2,0.7,0.7079999999999999,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed21,21,0.8
0.0,8,500,5786,movielens_1m_r2,0.8,0.8500000000000074,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed21,21,0.9
0.0,9,500,201,movielens_1m_r2,0.9,0.9378109452736307,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed21,21,1.0
0.0,0,500,6,movielens_1m_r2,0.0,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed42,42,0.1
0.0,1,500,0,movielens_1m_r2,0.1,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed42,42,0.2
0.0,2,500,0,movielens_1m_r2,0.2,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed42,42,0.3
0.0,3,500,0,movielens_1m_r2,0.3,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed42,42,0.4
0.0,4,500,0,movielens_1m_r2,0.4,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed42,42,0.5
0.0,5,500,0,movielens_1m_r2,0.5,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed42,42,0.6
0.0,6,500,0,movielens_1m_r2,0.6,0.0,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed42,42,0.7
0.0,7,500,44,movielens_1m_r2,0.7,0.7068181818181815,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed42,42,0.8
0.0,8,500,5793,movielens_1m_r2,0.8,0.8500000000000079,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed42,42,0.9
0.0,9,500,197,movielens_1m_r2,0.9,0.936802030456852,ours_uncertainty_guided_real,r3_movielens_1m_real_llm_full_candidate500_ours_uncertainty_guided_real_seed42,42,1.0
